DIMENSÕES;;;;;;;;
DN;;DE (Diâmetro Externo do Flange);DI (Diâmetro Interno do Flange);N° de Parafusos;C (Diâmetro de Furação);Diâmetro do Parafuso;T (Espessura do Flange para Classe 86 psi);T (Espessura do Flange para Classe 150 psi)
(pol);(mm);(pol);(pol);;(pol);(pol;(pol);(pol)
4;100;9;4,57;8;8;0,625;0,625;0,625
5;125;10;6;8;9;1;1;0,625
6;150;11;7;8;10;1;1;0,688
8;200;14;9;8;12;1;1;0,688
10;250;16;10,88;12;14;0,875;0,688;0,688
12;300;19;13;12;17;1;1;0,812
14;350;21;14;12;19;1;1;0,938
16;400;24;16;16;21;1;1;1
18;450;25;18;16;23;1;1;1,062
20;500;28;20;20;25;1;1;1
22;550;30;22;20;27;1;1;1
24;600;32;24;20;30;1;1;1
26;650;34;Definido pelo Cliente;24;32;1;1;1
28;700;37;Definido pelo Cliente;28;34;1;1;1
30;750;39;Definido pelo Cliente;28;36;1;1;1
32;800;42;Definido pelo Cliente;28;39;2;1;2
34;850;44;Definido pelo Cliente;32;41;2;1;2
36;900;46;Definido pelo Cliente;32;43;2;1;2
38;950;48,75;Definido pelo Cliente;32;45,25;1,5;1;1,625
40;1000;50,75;Definido pelo Cliente;36;47,25;1,5;1;1,625
42;1050;53;Definido pelo Cliente;36;49,5;1,5;1,125;1,75
44;1100;55,25;Definido pelo Cliente;40;51,75;1,5;1,125;1,75
46;1150;57,25;Definido pelo Cliente;40;53,75;1,5;1,125;1,75
48;1200;59,5;Definido pelo Cliente;44;56;1,5;1,25;1,875
50;1250;61,75;Definido pelo Cliente;44;58,25;1,75;1,25;2
52;1300;64;Definido pelo Cliente;44;60,5;1,75;1,25;2
54;1350;66,25;Definido pelo Cliente;44;62,75;1,75;1,375;2,125
60;1500;73;Definido pelo Cliente;52;69,25;1,75;1,5;2,25
66;1650;80;Definido pelo Cliente;52;76;1,75;1,625;2,5
72;1800;86,5;Definido pelo Cliente;60;82,5;1,75;1,75;2,625
78;1950;93;Definido pelo Cliente;64;89;2;2;2,75
84;2100;99,75;Definido pelo Cliente;64;95,5;2;2;2,875
90;2250;106,5;Definido pelo Cliente;68;102;2,25;2,25;3
96;2400;113,25;Definido pelo Cliente;68;108,5;2,25;2,25;3,25
102;2550;120;Definido pelo Cliente;72;114,5;2,5;2,5;3,25
108;2700;126,75;Definido pelo Cliente;72;120,75;2,5;2,5;3,375
114;2850;133,5;Definido pelo Cliente;76;126,75;2,75;2,75;3,5
